00000027) lambda - 1946.62085; bpp - 0.00113; dists - 0.14015; rdloss - 2.33624; perceptual_64INITIAL - 152.66431; perceptual_256FINAL - 116.10216; gen_gan - 0.50831; feature_matching - 5.54126; disc_gan - 0.32547
00000028) lambda - 1946.62085; bpp - 0.00113; dists - 0.14034; rdloss - 2.33925; perceptual_64INITIAL - 150.66840; perceptual_256FINAL - 116.40192; gen_gan - 0.51457; feature_matching - 5.57940; disc_gan - 0.32246
00000029) lambda - 1946.62085; bpp - 0.00112; dists - 0.13436; rdloss - 2.32341; perceptual_64INITIAL - 148.93298; perceptual_256FINAL - 114.77225; gen_gan - 0.51132; feature_matching - 5.50525; disc_gan - 0.32324
00000030) lambda - 1946.62085; bpp - 0.00113; dists - 0.13507; rdloss - 2.34091; perceptual_64INITIAL - 148.77618; perceptual_256FINAL - 114.58679; gen_gan - 0.51489; feature_matching - 5.52797; disc_gan - 0.32211
00000031) lambda - 1946.62085; bpp - 0.00114; dists - 0.13814; rdloss - 2.35589; perceptual_64INITIAL - 148.88116; perceptual_256FINAL - 114.67980; gen_gan - 0.51935; feature_matching - 5.54455; disc_gan - 0.31854
00000032) lambda - 1946.62085; bpp - 0.00114; dists - 0.13477; rdloss - 2.35193; perceptual_64INITIAL - 148.04079; perceptual_256FINAL - 113.61826; gen_gan - 0.49500; feature_matching - 5.23740; disc_gan - 0.33893
00000033) lambda - 1946.62085; bpp - 0.00114; dists - 0.13434; rdloss - 2.34969; perceptual_64INITIAL - 147.48584; perceptual_256FINAL - 113.41999; gen_gan - 0.52084; feature_matching - 5.42114; disc_gan - 0.31459
00000034) lambda - 1946.62085; bpp - 0.00114; dists - 0.14012; rdloss - 2.36070; perceptual_64INITIAL - 147.32272; perceptual_256FINAL - 113.07380; gen_gan - 0.51725; feature_matching - 5.39910; disc_gan - 0.32723
00000035) lambda - 1946.62085; bpp - 0.00115; dists - 0.13220; rdloss - 2.36366; perceptual_64INITIAL - 146.52411; perceptual_256FINAL - 112.22726; gen_gan - 0.51378; feature_matching - 5.32339; disc_gan - 0.31516
00000036) lambda - 1946.62085; bpp - 0.00115; dists - 0.13586; rdloss - 2.36843; perceptual_64INITIAL - 146.37680; perceptual_256FINAL - 112.40906; gen_gan - 0.52967; feature_matching - 5.44271; disc_gan - 0.30974
00000037) lambda - 1946.62085; bpp - 0.00115; dists - 0.13562; rdloss - 2.37470; perceptual_64INITIAL - 146.15236; perceptual_256FINAL - 112.01883; gen_gan - 0.52630; feature_matching - 5.42877; disc_gan - 0.31213
00000038) lambda - 1946.62085; bpp - 0.00114; dists - 0.14316; rdloss - 2.36379; perceptual_64INITIAL - 145.81490; perceptual_256FINAL - 118.08574; gen_gan - 0.55422; feature_matching - 5.75953; disc_gan - 0.29081
00000039) lambda - 1946.62085; bpp - 0.00114; dists - 0.13136; rdloss - 2.35660; perceptual_64INITIAL - 145.60718; perceptual_256FINAL - 112.49861; gen_gan - 0.53379; feature_matching - 5.47203; disc_gan - 0.30722
00000040) lambda - 1946.62085; bpp - 0.00115; dists - 0.13356; rdloss - 2.37015; perceptual_64INITIAL - 145.03893; perceptual_256FINAL - 111.39230; gen_gan - 0.53105; feature_matching - 5.41462; disc_gan - 0.30835
00000041) lambda - 1946.62085; bpp - 0.00115; dists - 0.13399; rdloss - 2.38021; perceptual_64INITIAL - 144.99229; perceptual_256FINAL - 111.60831; gen_gan - 0.51097; feature_matching - 5.27473; disc_gan - 0.32714
00000042) lambda - 1946.62085; bpp - 0.00116; dists - 0.13296; rdloss - 2.38736; perceptual_64INITIAL - 144.40562; perceptual_256FINAL - 110.55422; gen_gan - 0.53223; feature_matching - 5.33792; disc_gan - 0.30348
00000043) lambda - 1946.62085; bpp - 0.00116; dists - 0.13311; rdloss - 2.39040; perceptual_64INITIAL - 143.61942; perceptual_256FINAL - 110.71746; gen_gan - 0.52900; feature_matching - 5.36370; disc_gan - 0.31004
00000044) lambda - 1946.62085; bpp - 0.00116; dists - 0.13059; rdloss - 2.38957; perceptual_64INITIAL - 143.68686; perceptual_256FINAL - 109.97395; gen_gan - 0.53329; feature_matching - 5.37829; disc_gan - 0.30596
00000045) lambda - 1946.62085; bpp - 0.00116; dists - 0.12774; rdloss - 2.38495; perceptual_64INITIAL - 142.82635; perceptual_256FINAL - 109.03197; gen_gan - 0.52749; feature_matching - 5.32123; disc_gan - 0.31274
00000046) lambda - 1946.62085; bpp - 0.00117; dists - 0.13111; rdloss - 2.40063; perceptual_64INITIAL - 143.21246; perceptual_256FINAL - 109.60902; gen_gan - 0.51289; feature_matching - 5.22171; disc_gan - 0.32039
00000047) lambda - 1946.62085; bpp - 0.00116; dists - 0.12879; rdloss - 2.39409; perceptual_64INITIAL - 142.70813; perceptual_256FINAL - 109.22910; gen_gan - 0.53463; feature_matching - 5.34557; disc_gan - 0.30376
00000048) lambda - 1946.62085; bpp - 0.00116; dists - 0.13155; rdloss - 2.39840; perceptual_64INITIAL - 143.33138; perceptual_256FINAL - 109.22083; gen_gan - 0.53257; feature_matching - 5.35364; disc_gan - 0.30854
00000049) lambda - 1946.62085; bpp - 0.00116; dists - 0.12924; rdloss - 2.39673; perceptual_64INITIAL - 142.59778; perceptual_256FINAL - 108.81937; gen_gan - 0.53505; feature_matching - 5.34437; disc_gan - 0.30383
00000050) lambda - 1946.62085; bpp - 0.00117; dists - 0.12900; rdloss - 2.40048; perceptual_64INITIAL - 142.77534; perceptual_256FINAL - 108.92065; gen_gan - 0.53691; feature_matching - 5.33309; disc_gan - 0.30461
00000051) lambda - 1946.62085; bpp - 0.00117; dists - 0.13197; rdloss - 2.40640; perceptual_64INITIAL - 141.19785; perceptual_256FINAL - 107.86054; gen_gan - 0.53542; feature_matching - 5.29389; disc_gan - 0.30490
00000052) lambda - 1946.62085; bpp - 0.00117; dists - 0.12836; rdloss - 2.40810; perceptual_64INITIAL - 142.16476; perceptual_256FINAL - 107.97292; gen_gan - 0.53317; feature_matching - 5.27673; disc_gan - 0.30831
00000053) lambda - 1946.62085; bpp - 0.00117; dists - 0.12972; rdloss - 2.40108; perceptual_64INITIAL - 141.66881; perceptual_256FINAL - 108.70619; gen_gan - 0.53738; feature_matching - 5.30512; disc_gan - 0.30097
00000054) lambda - 1946.62085; bpp - 0.00117; dists - 0.12568; rdloss - 2.39706; perceptual_64INITIAL - 140.61984; perceptual_256FINAL - 107.53647; gen_gan - 0.53837; feature_matching - 5.28726; disc_gan - 0.30275
00000055) lambda - 1946.62085; bpp - 0.00117; dists - 0.12766; rdloss - 2.39726; perceptual_64INITIAL - 141.03036; perceptual_256FINAL - 107.31541; gen_gan - 0.53799; feature_matching - 5.28013; disc_gan - 0.30338
00000056) lambda - 1946.62085; bpp - 0.00117; dists - 0.12936; rdloss - 2.40983; perceptual_64INITIAL - 141.11212; perceptual_256FINAL - 107.23248; gen_gan - 0.43398; feature_matching - 4.33054; disc_gan - 0.46990
